code,board,n_limit,max_consecutive,first_limit,last_limit,peak_date,peak_price,data_days,buy_days,buy_return_pct,buy_high_max_pct,buy_low_min_pct,buy_avg_daily_range_pct,buy_max_daily_range_pct,buy_avg_vol_ratio,buy_max_vol_ratio,buy_vol_trend,buy_limit_up_count_main,buy_limit_up_count_gem,buy_avg_body_ratio,buy_avg_upper_shadow_ratio,buy_avg_lower_shadow_ratio,buy_bullish_pct,buy_vol_shrink_days,buy_vol_expand_days,buy_gap_up_count,buy_gap_down_count,buy_rsi_last,buy_rsi_max,buy_rsi_min,buy_macd_hist_last,buy_macd_cross_up,buy_boll_position,buy_atr_last,buy_max_up_streak,buy_max_down_streak,buy_day_return_pct,buy_day_volume,buy_day_vol_ratio_vs_prev,sell_days,sell_return_pct,sell_high_max_pct,sell_low_min_pct,sell_avg_daily_range_pct,sell_max_daily_range_pct,sell_avg_vol_ratio,sell_max_vol_ratio,sell_vol_trend,sell_limit_up_count_main,sell_limit_up_count_gem,sell_avg_body_ratio,sell_avg_upper_shadow_ratio,sell_avg_lower_shadow_ratio,sell_bullish_pct,sell_vol_shrink_days,sell_vol_expand_days,sell_gap_up_count,sell_gap_down_count,sell_rsi_last,sell_rsi_max,sell_rsi_min,sell_macd_hist_last,sell_macd_cross_up,sell_boll_position,sell_atr_last,sell_max_up_streak,sell_max_down_streak,sell_day_return_pct,sell_day_high_pct_from_buy,total_return_pct
1,深主板,1,1,2024-02-21,2024-02-21,2024-02-23,9.677,19,12.0,13.52,13.52,-7.74,3.73,12.53,1.05,2.2,5.69,1.0,0.0,0.39,0.23,0.37,58.3,6.0,2.0,1.0,1.0,76.2,76.2,0.0,0.0985,1.0,1.21,0.299,4.0,4.0,12.41,505528500,4.5,4,-2.92,4.76,-11.15,6.04,12.53,0.87,1.0,-19.34,0,0,0.65,0.3,0.05,50.0,3,0,0,1,21.3,66.7,21.3,-0.0137,1,0.5,0.525,1,2,-0.32,4.76,4.76
2,深主板,1,1,2024-04-29,2024-04-29,2024-05-06,7.88,19,12.0,6.48,6.48,-9.15,4.25,11.82,1.1,1.81,5.38,1.0,0.0,0.49,0.33,0.18,50.0,5.0,1.0,0.0,2.0,63.4,63.4,10.0,0.0246,2.0,1.04,0.297,3.0,5.0,11.67,494466000,1.22,4,-0.53,4.23,-10.58,7.05,11.82,0.97,1.12,-6.43,0,0,0.62,0.3,0.08,50.0,2,0,1,1,42.3,42.3,0.0,-0.0088,0,0.5,0.517,2,1,-2.23,4.23,4.23
2,深主板,1,1,2024-05-17,2024-05-17,2024-05-22,9.92,12,4.0,20.64,20.64,-1.07,7.71,12.0,1.35,1.6,39.17,1.0,0.0,0.54,0.31,0.15,100.0,0.0,1.0,0.0,0.0,50.0,,,0.1292,1.0,0.5,0.605,3.0,0.0,8.04,924718400,1.39,4,4.14,8.06,-4.14,6.35,8.77,0.91,1.04,-8.6,0,0,0.42,0.35,0.23,100.0,2,1,0,0,50.0,,,0.0325,1,0.5,0.58,3,0,1.73,10.22,10.22
2,深主板,3,3,2024-09-26,2024-09-30,2024-10-08,10.69,20,13.0,38.78,38.78,-2.67,4.51,11.36,1.33,2.22,19.0,2.0,0.0,0.48,0.34,0.19,84.6,3.0,3.0,2.0,0.0,97.3,97.3,0.0,0.226,1.0,1.12,0.347,9.0,1.0,11.36,527841000,1.34,4,5.66,20.93,-3.85,6.46,12.63,1.01,1.38,0.59,1,0,0.54,0.0,0.46,25.0,2,1,2,0,59.7,59.7,59.7,0.1033,1,0.5,0.903,2,1,-2.9,32.96,32.96
2,深主板,1,1,2025-02-12,2025-02-12,2025-02-13,8.22,18,12.0,16.2,16.2,-5.4,6.29,11.45,0.95,1.51,-5.3,1.0,0.0,0.46,0.33,0.21,66.7,6.0,3.0,1.0,1.0,68.6,72.1,53.7,0.064,1.0,1.09,0.459,2.0,2.0,9.79,379739000,2.19,4,7.87,13.54,-1.52,6.68,11.45,1.16,1.53,13.31,1,0,0.56,0.27,0.17,50.0,1,2,0,0,82.0,82.0,82.0,0.0754,1,0.5,0.503,2,1,2.31,3.27,3.27
2,深主板,1,1,2025-12-10,2025-12-10,2025-12-11,5.25,18,12.0,-13.08,0.99,-22.19,3.8,11.55,1.16,1.93,6.04,1.0,0.0,0.45,0.3,0.25,33.3,4.0,4.0,0.0,3.0,27.4,27.4,0.0,-0.0604,0.0,0.5,0.22,1.0,5.0,10.29,636212100,2.7,4,5.24,10.06,-1.47,5.75,11.55,1.1,1.46,4.79,1,0,0.67,0.24,0.09,25.0,2,1,0,0,67.6,72.7,67.6,0.0352,1,0.5,0.282,1,2,-2.12,0.0,0.0
4,深主板,1,1,2024-02-27,2024-02-27,2024-02-28,14.39,18,12.0,19.37,19.37,-24.3,8.71,13.0,1.08,1.4,3.26,1.0,0.0,0.63,0.2,0.17,66.7,6.0,1.0,2.0,1.0,66.5,66.5,0.0,0.3166,1.0,1.01,0.972,8.0,3.0,8.48,9133700,0.84,4,1.38,16.71,-8.6,11.37,15.64,1.1,1.54,12.52,1,0,0.74,0.19,0.06,75.0,2,1,1,1,52.9,52.9,47.5,0.0273,1,0.5,1.45,1,1,-12.86,6.12,6.12
4,深主板,1,1,2024-05-07,2024-05-07,2024-05-08,11.86,18,12.0,10.38,10.38,-11.25,5.52,15.38,1.04,2.05,4.42,1.0,0.0,0.53,0.29,0.17,66.7,6.0,1.0,2.0,2.0,63.0,77.0,20.0,0.0697,2.0,0.99,0.631,5.0,2.0,9.02,7905100,0.8,4,7.09,13.6,-4.5,6.11,9.02,1.07,1.51,10.12,1,0,0.59,0.39,0.02,75.0,2,1,1,0,76.1,76.1,75.4,0.0907,1,0.5,0.683,1,1,-2.54,3.31,3.31
4,深主板,1,1,2024-06-18,2024-06-18,2024-06-19,11.2,18,12.0,-2.02,1.83,-19.92,5.36,10.55,1.05,2.01,1.28,1.0,0.0,0.56,0.16,0.28,41.7,6.0,3.0,2.0,3.0,47.4,47.4,0.0,0.0252,1.0,0.83,0.518,3.0,4.0,8.64,9679300,3.8,4,9.73,21.08,-0.43,6.55,9.71,1.36,1.85,32.7,1,0,0.76,0.14,0.1,50.0,1,2,1,0,67.4,67.4,67.4,0.137,1,0.5,0.78,2,1,6.7,10.02,10.02
4,深主板,2,2,2024-06-27,2024-06-28,2024-07-01,11.77,8,2.0,10.02,10.02,-11.15,12.08,12.36,1.21,1.41,82.22,1.0,0.0,0.9,0.0,0.1,100.0,0.0,1.0,0.0,0.0,50.0,,,0.0676,1.0,0.5,1.21,1.0,0.0,10.79,10236400,0.0,4,4.44,11.25,-11.15,9.96,12.36,1.14,1.41,12.37,1,0,0.72,0.18,0.1,75.0,2,1,1,0,61.6,61.6,57.6,0.0585,1,0.5,1.055,1,1,-7.73,11.25,11.25
4,深主板,1,1,2024-07-15,2024-07-15,2024-07-23,13.25,16,5.0,9.71,9.71,-6.81,6.49,10.24,1.02,1.58,7.16,1.0,0.0,0.42,0.31,0.27,80.0,3.0,1.0,0.0,0.0,84.9,84.9,0.0,0.0629,1.0,0.94,0.648,1.0,1.0,10.04,13950800,2.52,4,10.21,17.67,-6.84,9.16,12.17,1.15,1.6,21.13,1,0,0.63,0.3,0.07,75.0,2,1,2,1,77.5,77.5,70.6,0.117,1,0.5,1.253,1,1,-5.02,20.89,20.89
4,深主板,1,1,2024-08-23,2024-08-23,2024-09-06,12.68,27,12.0,5.59,5.59,-6.5,4.75,11.0,1.04,2.01,3.59,1.0,0.0,0.48,0.27,0.24,41.7,5.0,3.0,0.0,0.0,60.1,60.1,0.0,0.0255,2.0,1.08,0.512,2.0,2.0,10.33,13957200,1.99,4,-2.98,4.97,-6.04,5.72,8.85,0.95,1.09,-4.95,0,0,0.24,0.59,0.17,50.0,2,0,0,2,10.9,10.9,0.0,-0.0402,0,0.5,0.675,1,2,-1.6,9.97,9.97
4,深主板,4,4,2024-09-18,2024-09-23,2024-09-24,17.67,10,2.0,10.03,10.03,-9.87,7.16,10.77,0.98,1.0,-9.33,1.0,0.0,0.46,0.0,0.54,100.0,1.0,0.0,1.0,0.0,50.0,,,0.0772,1.0,0.5,1.2,1.0,0.0,9.14,14192700,0.0,4,4.66,21.03,0.0,6.0,15.17,1.57,2.83,69.87,1,0,0.28,0.7,0.02,25.0,2,1,2,1,62.9,62.9,62.9,0.1292,1,0.5,1.323,2,1,-2.4,46.52,46.52
4,深主板,1,1,2024-12-12,2024-12-12,2024-12-13,20.84,18,12.0,12.28,12.28,-5.27,3.73,9.43,1.06,1.95,0.6,1.0,0.0,0.5,0.24,0.26,75.0,5.0,2.0,2.0,2.0,74.3,74.3,56.4,0.114,1.0,1.17,0.702,4.0,2.0,9.16,14305500,3.45,4,12.9,14.44,-0.88,5.79,9.43,1.44,1.97,41.14,1,0,0.48,0.27,0.26,100.0,1,2,1,0,50.0,,,0.2485,1,0.5,1.135,3,0,0.1,4.04,4.04
4,深主板,1,1,2025-02-10,2025-02-10,2025-02-11,14.59,18,12.0,2.8,2.8,-23.84,5.31,10.69,1.14,2.0,7.6,2.0,0.0,0.46,0.35,0.18,58.3,7.0,2.0,1.0,4.0,52.8,52.8,0.0,0.1432,1.0,0.92,0.795,4.0,7.0,7.88,19405000,0.88,4,10.24,14.88,-7.09,8.27,10.69,0.99,1.18,-1.63,1,0,0.61,0.23,0.16,75.0,2,0,1,0,85.3,85.3,82.5,0.1414,1,0.5,1.073,1,1,-3.86,4.44,4.44
4,深主板,1,1,2025-04-15,2025-04-15,2025-04-17,10.31,19,12.0,2.6,3.0,-22.0,5.0,13.15,1.09,1.97,6.56,1.0,0.0,0.53,0.25,0.22,50.0,6.0,2.0,0.0,3.0,53.6,58.1,0.0,0.0143,1.0,0.85,0.522,5.0,4.0,9.73,14420700,3.55,4,-3.02,0.49,-8.87,6.97,9.73,0.94,1.04,-9.61,0,0,0.75,0.05,0.2,50.0,2,0,0,0,38.8,50.9,0.0,-0.028,0,0.5,0.71,1,1,6.09,0.49,0.49
6,深主板,1,1,2024-09-03,2024-09-03,2024-09-04,4.47,18,12.0,10.61,10.61,-3.18,4.14,10.03,1.14,1.8,4.6,1.0,0.0,0.46,0.3,0.24,50.0,5.0,3.0,1.0,0.0,66.9,78.8,0.0,0.0231,2.0,1.14,0.163,3.0,2.0,10.03,38080900,1.93,4,11.08,17.94,0.0,6.78,10.03,1.31,1.85,31.64,1,0,0.58,0.31,0.11,25.0,1,2,1,0,92.0,92.0,90.5,0.0458,1,0.5,0.275,1,1,-3.5,7.19,7.19
6,深主板,1,1,2024-09-27,2024-09-27,2024-10-08,6.11,17,10.0,23.61,23.61,-1.2,4.98,9.05,1.14,1.49,7.57,1.0,0.0,0.4,0.37,0.23,70.0,3.0,1.0,2.0,0.0,88.9,88.9,71.1,0.0757,1.0,1.13,0.228,2.0,2.0,8.0,79119200,1.17,4,-3.7,19.1,-8.38,9.7,14.43,1.03,1.23,-1.03,0,0,0.69,0.03,0.28,50.0,2,1,2,0,41.4,82.1,41.4,0.009,1,0.5,0.582,1,2,-10.0,19.1,19.1
6,深主板,5,3,2024-10-18,2024-10-25,2024-11-12,10.41,25,4.0,16.05,16.05,-4.68,9.11,11.09,1.05,1.38,10.33,2.0,0.0,0.56,0.24,0.19,75.0,1.0,1.0,1.0,0.0,83.3,83.3,0.0,0.0692,1.0,0.5,0.562,2.0,1.0,9.93,66582900,0.66,4,6.35,16.05,-1.0,8.68,10.16,0.92,1.03,-10.15,0,0,0.55,0.32,0.12,50.0,2,0,0,0,69.4,69.4,69.4,0.0824,1,0.5,0.815,2,1,5.71,64.98,64.98
6,深主板,1,1,2024-11-28,2024-11-28,2024-12-02,9.78,14,7.0,10.92,10.92,-3.89,5.11,7.68,0.98,1.22,-1.26,1.0,0.0,0.3,0.31,0.39,71.4,3.0,1.0,1.0,1.0,78.4,78.4,37.8,0.0579,1.0,1.04,0.489,2.0,1.0,3.15,67735600,1.78,4,2.6,10.63,-5.2,7.76,12.69,1.02,1.15,-0.71,0,0,0.38,0.4,0.22,75.0,1,0,0,0,68.3,68.3,68.3,0.0312,1,0.5,0.677,2,1,5.94,10.63,10.63
6,深主板,1,1,2025-01-20,2025-01-20,2025-01-21,8.23,18,12.0,8.25,8.25,-8.68,5.0,11.3,0.96,1.6,-2.43,1.0,0.0,0.44,0.27,0.29,66.7,8.0,2.0,1.0,3.0,64.6,64.6,0.0,0.04,1.0,1.21,0.352,2.0,3.0,8.41,40079800,1.99,4,3.38,21.03,-2.06,8.09,13.32,1.31,1.82,30.67,1,0,0.33,0.38,0.29,75.0,1,2,1,1,58.6,58.6,58.6,0.0549,1,0.5,0.633,2,1,2.99,10.03,10.03
6,深主板,1,1,2025-03-27,2025-03-27,2025-03-31,8.22,19,12.0,11.71,11.71,-4.05,4.1,11.61,1.1,2.08,9.81,1.0,0.0,0.45,0.37,0.18,50.0,6.0,3.0,1.0,2.0,70.5,70.5,0.0,0.0589,1.0,1.24,0.282,3.0,3.0,10.71,106387700,2.21,4,-2.82,10.48,-10.48,9.57,12.31,0.95,1.18,-10.35,0,0,0.55,0.33,0.12,50.0,2,0,1,0,37.6,40.5,37.6,-0.0134,1,0.5,0.705,1,2,-6.54,10.48,10.48
6,深主板,1,1,2025-08-12,2025-08-12,2025-08-19,8.07,22,12.0,16.56,16.56,-4.84,3.46,8.9,1.18,2.18,14.87,1.0,0.0,0.42,0.33,0.26,66.7,5.0,3.0,1.0,1.0,84.0,84.0,0.0,0.0993,1.0,1.2,0.24,7.0,4.0,5.97,114379000,1.23,4,4.77,10.1,-2.73,4.91,6.23,0.99,1.13,-4.79,0,0,0.34,0.34,0.32,75.0,2,0,1,0,74.6,74.6,74.6,0.0481,1,0.5,0.41,2,1,1.95,8.18,8.18
6,深主板,1,1,2025-09-24,2025-09-24,2025-10-14,14.44,25,12.0,24.43,24.43,-2.95,6.05,13.15,1.08,1.54,5.94,1.0,0.0,0.47,0.24,0.29,75.0,6.0,2.0,0.0,1.0,81.8,81.9,54.1,0.1459,1.0,1.16,0.479,3.0,1.0,11.82,69547800,0.85,4,3.94,20.94,-10.55,8.59,11.73,1.03,1.7,7.66,1,0,0.81,0.05,0.14,50.0,2,1,2,1,57.3,57.3,57.3,0.1181,1,0.5,1.285,2,1,-4.44,55.77,55.77
6,深主板,1,1,2026-05-12,2026-05-12,2026-05-19,11.25,19,12.0,7.07,7.07,-6.86,4.21,10.1,1.09,1.92,6.13,1.0,0.0,0.5,0.22,0.28,58.3,4.0,1.0,3.0,1.0,62.8,80.0,0.0,0.047,2.0,1.14,0.417,3.0,2.0,8.85,81430400,2.41,4,11.73,15.74,-1.03,6.34,9.19,1.09,1.61,12.65,1,0,0.58,0.19,0.23,50.0,2,1,1,0,83.5,83.5,83.5,0.1413,1,0.5,0.672,2,1,1.46,7.66,7.66
7,深主板,2,2,2024-07-02,2024-07-03,2024-07-04,5.59,19,13.0,18.39,18.39,-8.06,3.73,9.62,1.38,4.19,31.41,2.0,0.0,0.5,0.18,0.32,53.8,6.0,4.0,3.0,1.0,83.0,83.0,0.0,0.0832,1.0,1.22,0.189,3.0,5.0,4.41,27123500,23.42,4,-0.19,9.98,-7.49,9.3,11.98,0.97,1.16,-5.85,1,0,0.57,0.21,0.22,75.0,2,0,1,1,49.6,49.6,47.7,0.0065,1,0.5,0.518,1,1,-4.27,7.29,7.29
7,深主板,1,1,2024-09-30,2024-09-30,2024-10-09,7.7,19,12.0,45.91,45.91,-0.22,6.12,12.02,1.32,3.03,11.72,1.0,0.0,0.51,0.3,0.19,83.3,4.0,3.0,2.0,0.0,95.3,95.3,90.3,0.1701,1.0,1.02,0.341,6.0,1.0,5.45,19452100,1.31,4,4.58,13.74,-7.68,8.6,13.09,1.01,1.28,-2.55,0,0,0.35,0.25,0.39,25.0,1,0,1,0,73.1,83.1,73.1,0.0425,1,0.5,0.643,1,2,-1.38,13.74,13.74
7,深主板,1,1,2024-11-05,2024-11-05,2024-11-06,8.61,18,12.0,18.82,18.82,-1.21,5.73,10.74,1.14,2.53,6.17,1.0,0.0,0.48,0.34,0.18,50.0,6.0,2.0,0.0,1.0,72.6,90.7,54.3,0.0695,1.0,1.14,0.394,2.0,2.0,9.21,28633200,2.17,4,8.43,20.93,-5.9,7.63,10.74,1.32,1.75,31.66,1,0,0.61,0.1,0.29,75.0,1,2,1,1,72.1,72.1,72.1,0.0863,1,0.5,0.695,2,1,-5.92,9.96,9.96
7,深主板,1,1,2025-04-25,2025-04-25,2025-04-28,7.06,18,12.0,23.02,23.02,-3.78,5.69,11.71,1.16,2.38,9.81,1.0,0.0,0.54,0.2,0.26,66.7,6.0,3.0,2.0,0.0,80.5,81.8,62.1,0.1049,1.0,1.05,0.353,4.0,2.0,6.87,41731100,4.66,4,4.76,9.98,-2.92,6.74,10.6,1.08,1.65,0.24,1,0,0.5,0.13,0.37,50.0,2,1,1,0,62.4,62.4,58.0,0.0376,1,0.5,0.482,1,1,-5.24,-1.4,-1.4
