code,board,streak,first_limit_date,entry_price,exit_date,exit_price,hold_days,pnl_pct,exit_reason,b1_amplitude_pct,b1_vol_ratio
301293,创业板,1,2026-01-06,,2026-01-09,92.1,2,1.78,追踪(峰13.8%→-10.6%),0,0
688583,科创板,1,2026-01-30,,2026-02-03,156.06,1,20.05,止盈15%,0,0
301362,创业板,4,2026-02-02,,2026-02-04,77.74,1,20.01,止盈15%,0,0
300364,创业板,2,2026-02-09,,2026-02-12,37.17,2,-12.17,止损10%,0,0
300323,创业板,1,2026-03-05,,2026-03-12,13.41,4,16.51,止盈15%,0,0
301171,创业板,3,2026-04-07,,2026-05-20,41.73,7,-2.98,追踪(峰16.0%→-16.3%),0,0
301171,创业板,4,2026-04-13,,2026-05-20,41.73,7,-2.98,追踪(峰16.0%→-16.3%),0,0
301070,创业板,4,2026-04-20,,2026-04-28,137.262,1,44.23,止盈15%,0,0
301022,创业板,1,2026-04-21,,2026-04-29,39.495,1,76.2,止盈15%,0,0
300590,创业板,1,2026-04-23,,2026-05-11,15.38,8,6.36,数据结束,0,0
301030,创业板,6,2026-04-27,,2026-04-28,15.215,1,74.74,止盈15%,0,0
301070,创业板,6,2026-04-27,,2026-04-28,137.262,1,44.23,止盈15%,0,0
301171,创业板,2,2026-04-27,,2026-05-20,41.73,7,-2.98,追踪(峰16.0%→-16.3%),0,0
301022,创业板,5,2026-04-28,,2026-04-29,39.495,1,76.2,止盈15%,0,0
301023,创业板,5,2026-04-28,,2026-04-29,95.46,1,399.92,止盈15%,0,0
301024,创业板,5,2026-04-28,,2026-04-29,61.211,1,130.7,止盈15%,0,0
301026,创业板,5,2026-04-28,,2026-04-29,46.072,1,106.07,止盈15%,0,0
301029,创业板,5,2026-04-28,,2026-04-29,43.035,1,129.78,止盈15%,0,0
301037,创业板,5,2026-04-28,,2026-04-29,25.162,1,146.49,止盈15%,0,0
301038,创业板,5,2026-04-28,,2026-04-29,33.547,1,185.34,止盈15%,0,0
301050,创业板,5,2026-04-28,,2026-04-29,100.951,1,554.46,止盈15%,0,0
301059,创业板,5,2026-04-28,,2026-04-29,29.015,1,286.61,止盈15%,0,0
301068,创业板,5,2026-04-28,,2026-04-29,61.861,1,191.62,止盈15%,0,0
301071,创业板,5,2026-04-28,,2026-04-29,196.308,1,1278.37,止盈15%,0,0
301073,创业板,5,2026-04-28,,2026-04-29,58.736,1,435.03,止盈15%,0,0
301076,创业板,5,2026-04-28,,2026-04-29,84.706,1,414.8,止盈15%,0,0
301079,创业板,6,2026-04-28,,2026-04-29,55.142,1,73.32,止盈15%,0,0
301080,创业板,6,2026-04-28,,2026-04-29,102.076,1,376.26,止盈15%,0,0
301082,创业板,6,2026-04-28,,2026-04-29,23.969,1,251.25,止盈15%,0,0
301086,创业板,6,2026-04-28,,2026-04-29,308.925,1,146.56,止盈15%,0,0
301087,创业板,6,2026-04-28,,2026-04-29,82.61,1,105.73,止盈15%,0,0
301091,创业板,6,2026-04-28,,2026-04-29,71.689,1,983.73,止盈15%,0,0
301093,创业板,6,2026-04-28,,2026-04-29,116.705,1,84.64,止盈15%,0,0
301098,创业板,6,2026-04-28,,2026-04-29,14.515,1,139.25,止盈15%,0,0
301099,创业板,6,2026-04-28,,2026-04-29,100.741,1,194.86,止盈15%,0,0
301101,创业板,6,2026-04-28,,2026-04-29,56.213,1,136.39,止盈15%,0,0
301102,创业板,6,2026-04-28,,2026-04-29,22.168,1,326.14,止盈15%,0,0
