code,board,signal_date,buy_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason,fl_return,fl_seal,fl_upper_shadow,fl_amplitude,volatility
301171,创业板,2026-04-07,2026-04-07,2026-04-08,33.58,35.46,5.6,2,追踪止损(峰+45.9%→回撤40.3%),30.1,1.4,4.1,6.0,3.2
301030,创业板,2026-04-27,2026-04-27,2026-04-28,8.707,7.993,-8.2,2,追踪止损(峰+99.3%→回撤107.5%),43.7,2.7,2.5,6.4,2.9
301023,创业板,2026-04-28,2026-04-28,2026-04-29,19.095,19.767,3.52,2,追踪止损(峰+404.8%→回撤401.3%),129.3,0.6,5.4,6.9,1.3
301024,创业板,2026-04-28,2026-04-28,2026-04-29,26.533,27.5,3.64,2,追踪止损(峰+133.0%→回撤129.3%),49.8,0.4,3.8,4.5,1.4
301029,创业板,2026-04-28,2026-04-28,2026-04-29,18.729,19.681,5.08,2,追踪止损(峰+132.1%→回撤127.0%),45.2,0.7,5.7,6.8,3.0
301037,创业板,2026-04-28,2026-04-28,2026-04-29,10.208,10.987,7.63,2,追踪止损(峰+150.7%→回撤143.1%),57.0,2.5,2.3,6.2,1.2
301038,创业板,2026-04-28,2026-04-28,2026-04-29,11.757,11.527,-1.96,2,追踪止损(峰+190.7%→回撤192.7%),70.8,1.3,4.0,6.2,1.0
301050,创业板,2026-04-28,2026-04-28,2026-04-29,15.425,15.77,2.24,2,追踪止损(峰+556.6%→回撤554.4%),148.1,0.8,7.4,9.5,5.7
301059,创业板,2026-04-28,2026-04-28,2026-04-29,7.505,7.663,2.1,2,追踪止损(峰+286.9%→回撤284.8%),98.6,0.1,2.4,2.5,1.4
301076,创业板,2026-04-28,2026-04-28,2026-04-29,16.454,16.714,1.58,2,追踪止损(峰+419.3%→回撤417.7%),121.2,0.7,8.0,9.5,1.9
301079,创业板,2026-04-28,2026-04-28,2026-04-29,31.815,33.392,4.96,2,追踪止损(峰+75.7%→回撤70.7%),22.2,0.8,7.9,9.0,3.8
301080,创业板,2026-04-28,2026-04-28,2026-04-29,21.433,21.286,-0.69,2,追踪止损(峰+376.9%→回撤377.6%),121.1,0.6,5.8,7.1,2.6
301082,创业板,2026-04-28,2026-04-28,2026-04-29,6.824,6.786,-0.56,2,追踪止损(峰+254.3%→回撤254.9%),84.3,1.4,7.6,10.1,2.9
301086,创业板,2026-04-28,2026-04-28,2026-04-29,125.293,131.373,4.85,2,追踪止损(峰+153.3%→回撤148.4%),59.4,1.6,3.2,5.7,2.5
301087,创业板,2026-04-28,2026-04-28,2026-04-29,40.154,40.785,1.57,2,追踪止损(峰+108.2%→回撤106.7%),49.9,1.8,5.8,8.5,1.7
301099,创业板,2026-04-28,2026-04-28,2026-04-29,34.166,34.598,1.26,2,追踪止损(峰+209.8%→回撤208.5%),73.6,0.9,6.5,8.2,5.9
301101,创业板,2026-04-28,2026-04-28,2026-04-29,23.78,23.693,-0.36,2,追踪止损(峰+138.6%→回撤139.0%),53.0,0.6,4.5,5.4,1.2
301102,创业板,2026-04-28,2026-04-28,2026-04-29,5.202,5.291,1.7,2,追踪止损(峰+333.4%→回撤331.7%),103.1,0.6,5.0,6.2,0.7
301103,创业板,2026-04-28,2026-04-28,2026-04-29,15.231,15.269,0.25,2,追踪止损(峰+83.3%→回撤83.0%),38.4,0.6,2.7,3.5,1.6
301107,创业板,2026-04-28,2026-04-28,2026-04-29,19.257,20.0,3.86,2,追踪止损(峰+112.6%→回撤108.7%),45.2,1.3,2.3,4.2,1.5
301108,创业板,2026-04-28,2026-04-28,2026-04-29,18.993,19.479,2.56,2,追踪止损(峰+111.9%→回撤109.4%),40.4,0.9,5.3,6.6,1.4
301109,创业板,2026-04-28,2026-04-28,2026-04-29,7.79,7.948,2.02,2,追踪止损(峰+429.5%→回撤427.5%),143.8,0.2,4.8,5.4,2.7
301110,创业板,2026-04-28,2026-04-28,2026-04-29,48.079,48.057,-0.04,2,追踪止损(峰+118.7%→回撤118.8%),42.2,0.6,4.7,5.6,2.9
301117,创业板,2026-04-28,2026-04-28,2026-04-29,29.593,31.357,5.96,2,追踪止损(峰+109.8%→回撤103.8%),36.2,1.2,6.7,8.3,1.1
301125,创业板,2026-04-28,2026-04-28,2026-04-29,11.694,11.826,1.13,2,追踪止损(峰+323.1%→回撤322.0%),105.6,1.5,4.8,7.9,1.0
301052,创业板,2026-04-29,2026-04-29,2026-05-06,23.813,32.42,36.15,2,止盈15.0%,34.7,0.4,3.5,4.1,9.4
301119,创业板,2026-04-29,2026-04-29,2026-05-05,30.923,32.285,4.4,2,追踪止损(峰+32.5%→回撤28.1%),30.0,1.8,2.1,4.5,8.0
301122,创业板,2026-04-29,2026-04-29,2026-05-05,24.2,26.369,8.96,2,追踪止损(峰+35.0%→回撤26.1%),30.0,1.6,2.8,4.9,8.4
301156,创业板,2026-05-07,2026-05-07,2026-05-11,11.275,20.94,85.73,2,止盈15.0%,93.5,0.6,2.8,4.1,1.4
301160,创业板,2026-05-07,2026-05-07,2026-05-11,42.483,62.36,46.79,2,止盈15.0%,57.8,2.7,2.3,6.6,2.7
301179,创业板,2026-05-07,2026-05-07,2026-05-11,8.184,24.98,205.21,2,止盈15.0%,235.6,2.6,2.4,11.3,3.2
301191,创业板,2026-05-07,2026-05-07,2026-05-11,119.138,166.8,40.01,2,止盈15.0%,35.9,2.6,2.8,6.2,4.7
