code,board,n_limit,position,date,rsi14,K,D,J,macd_dif,macd_dea,macd_hist,macd_golden_cross,macd_dead_cross,macd_above_zero,boll_position,boll_width_pct,above_ma5,dist_ma5_pct,above_ma10,dist_ma10_pct,above_ma20,dist_ma20_pct,above_ma60,dist_ma60_pct,atr,atr_pct,vol_ratio_5d,vol_ratio_1d,kdj_golden_cross,kdj_dead_cross,kdj_overbought,kdj_oversold
000001,深主板,1,buy_day,2024-02-21 00:00:00,76.2,87.2,71.1,119.3,0.0933,-0.0052,0.197,False,False,True,1.21,19.43,True,10.24,True,13.64,True,13.86,True,13.86,0.299,3.24,2.99,4.5,False,False,False,False
000001,深主板,1,buy_next,2024-02-22 00:00:00,77.3,91.3,77.8,118.2,0.1724,0.0303,0.2842,False,False,True,1.06,24.74,True,8.1,True,12.87,True,13.77,True,13.77,0.298,3.2,2.14,0.97,False,False,False,False
000001,深主板,1,sell_peak,2024-02-23 00:00:00,75.6,88.1,81.3,101.7,0.2284,0.0699,0.3171,False,False,True,0.94,27.36,True,4.67,True,10.35,True,12.11,True,12.11,0.306,3.29,1.24,0.72,False,False,True,False
000002,深主板,1,buy_day,2024-04-29 00:00:00,63.4,48.6,25.5,94.6,-0.0471,-0.0716,0.0491,True,False,False,1.04,17.9,True,10.88,True,10.32,True,9.6,True,9.6,0.297,3.94,2.21,1.22,False,False,False,False
000002,深主板,1,buy_next,2024-04-30 00:00:00,58.3,56.3,35.8,97.2,-0.005,-0.0583,0.1067,False,False,False,0.86,18.91,True,6.07,True,7.59,True,6.82,True,6.82,0.308,4.16,2.21,1.28,False,False,False,False
000002,深主板,1,sell_peak,2024-05-06 00:00:00,59.4,61.0,44.2,94.7,0.0321,-0.0402,0.1446,False,False,True,0.85,19.77,True,4.04,True,7.76,True,6.96,True,6.96,0.32,4.29,1.39,0.83,False,False,False,False
000002,深主板,1,buy_day,2024-05-17 00:00:00,,73.7,58.4,104.1,0.1798,0.0506,0.2584,False,False,True,0.84,33.31,True,11.21,True,11.21,True,11.21,True,11.21,0.605,6.72,2.01,1.39,False,False,False,False
000002,深主板,1,buy_next,2024-05-20 00:00:00,,78.1,65.0,104.3,0.2749,0.0954,0.359,False,False,True,0.79,36.57,True,10.47,True,10.47,True,10.47,True,10.47,0.614,6.69,1.53,0.95,False,False,False,False
000002,深主板,1,sell_peak,2024-05-22 00:00:00,,80.6,73.8,94.3,0.4165,0.1999,0.4332,False,False,True,0.76,36.64,True,4.56,True,9.41,True,9.41,True,9.41,0.611,6.5,1.05,1.53,False,False,False,False
000002,深主板,3,buy_day,2024-09-26 00:00:00,96.1,87.7,80.0,103.3,0.2661,0.1147,0.3028,False,False,True,1.1,31.66,True,10.77,True,17.39,True,18.88,True,18.88,0.309,3.85,1.93,1.34,False,False,False,False
000002,深主板,3,buy_next,2024-09-27 00:00:00,97.3,91.8,83.9,107.6,0.3971,0.1712,0.4519,False,False,True,1.12,44.54,True,15.59,True,24.47,True,27.69,True,27.69,0.347,3.92,2.17,1.33,False,False,True,False
000002,深主板,3,sell_peak,2024-10-08 00:00:00,98.3,93.9,89.6,102.5,0.7436,0.3488,0.7898,False,False,True,1.08,71.79,True,17.18,True,32.25,True,41.42,True,41.42,0.471,4.54,2.17,1.89,False,False,True,False
000002,深主板,1,buy_day,2025-02-12 00:00:00,68.6,71.6,64.9,85.0,0.1684,0.1044,0.128,False,False,True,1.09,16.11,True,7.39,True,8.94,True,9.44,True,9.44,0.459,5.77,1.65,2.19,True,False,False,False
000002,深主板,1,buy_next,2025-02-13 00:00:00,68.7,74.9,68.2,88.1,0.2094,0.1254,0.168,False,False,True,0.97,18.59,True,4.84,True,7.67,True,8.78,True,8.78,0.464,5.82,2.29,1.51,False,False,False,False
000002,深主板,1,sell_peak,2025-02-13 00:00:00,68.7,74.9,68.2,88.1,0.2094,0.1254,0.168,False,False,True,0.97,18.59,True,4.84,True,7.67,True,8.78,True,8.78,0.464,5.82,2.29,1.51,False,False,False,False
000002,深主板,1,buy_day,2025-12-10 00:00:00,27.4,27.2,14.4,52.8,-0.2843,-0.2239,-0.1208,False,False,False,0.5,29.72,True,5.63,True,2.72,False,-0.06,False,-0.06,0.22,4.19,2.47,2.7,True,False,False,False
000002,深主板,1,buy_next,2025-12-11 00:00:00,24.9,37.4,22.1,68.1,-0.2764,-0.2344,-0.0841,False,False,False,0.39,28.79,True,1.6,False,-0.02,False,-3.23,False,-3.23,0.219,4.32,1.66,0.86,False,False,False,False
000002,深主板,1,sell_peak,2025-12-11 00:00:00,24.9,37.4,22.1,68.1,-0.2764,-0.2344,-0.0841,False,False,False,0.39,28.79,True,1.6,False,-0.02,False,-3.23,False,-3.23,0.219,4.32,1.66,0.86,False,False,False,False
000004,深主板,1,buy_day,2024-02-27 00:00:00,66.5,82.4,64.9,117.4,0.2253,-0.0913,0.6332,False,False,True,1.01,48.21,True,13.25,True,24.61,True,24.79,True,24.79,0.972,7.17,1.03,0.84,False,False,False,False
000004,深主板,1,buy_next,2024-02-28 00:00:00,55.2,75.4,68.4,89.5,0.2687,-0.0193,0.576,False,False,True,0.74,47.67,False,-0.47,True,9.15,True,11.22,True,11.22,1.065,8.73,2.28,2.3,False,False,False,False
000004,深主板,1,sell_peak,2024-02-28 00:00:00,55.2,75.4,68.4,89.5,0.2687,-0.0193,0.576,False,False,True,0.74,47.67,False,-0.47,True,9.15,True,11.22,True,11.22,1.065,8.73,2.28,2.3,False,False,False,False
000004,深主板,1,buy_day,2024-05-07 00:00:00,63.0,72.7,72.8,72.6,0.1315,0.0618,0.1394,False,False,True,0.99,16.8,True,5.55,True,7.97,True,8.28,True,8.28,0.631,5.5,1.08,0.8,False,False,False,False
000004,深主板,1,buy_next,2024-05-08 00:00:00,58.3,69.1,71.6,64.2,0.1575,0.0809,0.1532,False,False,True,0.77,16.97,True,2.0,True,3.86,True,4.66,True,4.66,0.639,5.74,2.21,2.27,False,False,False,False
000004,深主板,1,sell_peak,2024-05-08 00:00:00,58.3,69.1,71.6,64.2,0.1575,0.0809,0.1532,False,False,True,0.77,16.97,True,2.0,True,3.86,True,4.66,True,4.66,0.639,5.74,2.21,2.27,False,False,False,False
000004,深主板,1,buy_day,2024-06-18 00:00:00,47.4,64.7,46.2,101.5,-0.2337,-0.2589,0.0504,True,False,False,0.83,23.63,True,6.82,True,9.5,True,7.81,True,7.81,0.518,5.09,2.46,3.8,False,False,False,False
000004,深主板,1,buy_next,2024-06-19 00:00:00,56.1,74.0,55.5,111.0,-0.1038,-0.2279,0.2481,False,False,False,1.02,28.66,True,11.69,True,16.58,True,14.94,True,14.94,0.557,5.07,4.1,2.05,False,False,False,False
000004,深主板,1,sell_peak,2024-06-19 00:00:00,56.1,74.0,55.5,111.0,-0.1038,-0.2279,0.2481,False,False,False,1.02,28.66,True,11.69,True,16.58,True,14.94,True,14.94,0.557,5.07,4.1,2.05,False,False,False,False
000004,深主板,2,buy_day,2024-06-27 00:00:00,,100.0,100.0,100.0,0.0,0.0,0.0,,,,0.5,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1.18,11.15,1.0,0.0,,,,
000004,深主板,2,buy_next,2024-06-28 00:00:00,,100.0,100.0,100.0,0.0846,0.0169,0.1353,True,False,True,0.68,26.99,True,4.77,True,4.77,True,4.77,True,4.77,1.21,10.4,2.4,2.4,False,False,True,False
