buy_date,buy_price,sell_date,sell_price,return_pct,highest,max_return_pct,sell_type,sell_reason,score,code,board,board_type,n_limit
2024-06-28 00:00:00,11.64,2024-07-03 00:00:00,10.37,-10.91,11.77,1.12,stop_loss,止损: -10.91%,68,000004,深主板,main,2
2024-07-15 00:00:00,10.96,2024-07-16 00:00:00,11.03,0.64,11.77,7.39,trailing_stop,追踪止损: 从高点-6.29%,75,000004,深主板,main,2
2024-10-18 00:00:00,21.97,2024-10-22 00:00:00,22.88,4.14,24.81,12.93,trailing_stop,追踪止损: 从高点-7.78%,82,000004,深主板,main,4
2024-10-18 00:00:00,21.97,2024-10-22 00:00:00,22.88,4.14,24.81,12.93,trailing_stop,追踪止损: 从高点-7.78%,82,000004,深主板,main,2
2024-10-18 00:00:00,21.97,2024-10-22 00:00:00,22.88,4.14,24.81,12.93,trailing_stop,追踪止损: 从高点-7.78%,82,000004,深主板,main,2
2024-10-21 00:00:00,6.94,2024-10-23 00:00:00,7.29,5.04,8.12,17.0,trailing_stop,追踪止损: 从高点-10.22%,75,000006,深主板,main,3
2024-07-02 00:00:00,5.21,2024-07-10 00:00:00,5.29,1.54,5.73,9.98,trailing_stop,追踪止损: 从高点-7.68%,85,000007,深主板,main,2
2024-03-07 00:00:00,2.34,2024-03-11 00:00:00,2.83,20.94,2.83,20.94,take_profit,止盈: 20.94%,70,000008,深主板,main,3
2024-12-03 00:00:00,3.06,2024-12-05 00:00:00,3.71,21.24,3.71,21.24,take_profit,止盈: 21.24%,72,000008,深主板,main,4
2024-12-24 00:00:00,3.15,2025-01-02 00:00:00,2.84,-9.84,3.32,5.4,stop_loss,止损: -9.84%,61,000008,深主板,main,4
2026-03-30 00:00:00,2.97,2026-04-01 00:00:00,3.27,10.1,3.6,21.21,trailing_stop,追踪止损: 从高点-9.17%,85,000008,深主板,main,2
2024-02-07 00:00:00,12.09,2024-02-08 00:00:00,12.02,-0.58,12.55,3.8,peak_signal,见顶信号: RSI80.4+上影71.9%,67,000009,深主板,main,2
2024-07-01 00:00:00,1.75,2024-07-22 00:00:00,1.71,-2.29,1.82,4.0,end_of_data,数据结束,60,000010,深主板,main,3
2025-07-09 00:00:00,3.29,2025-07-11 00:00:00,3.98,20.97,3.98,20.97,take_profit,止盈: 20.97%,66,000010,深主板,main,3
2025-08-11 00:00:00,5.1,2025-08-13 00:00:00,4.51,-11.57,5.25,2.94,stop_loss,止损: -11.57%,66,000010,深主板,main,2
2024-08-15 00:00:00,2.49,2024-08-20 00:00:00,2.7,8.43,2.89,16.06,trailing_stop,追踪止损: 从高点-6.57%,60,000016,深主板,main,3
2025-04-11 00:00:00,5.1,2025-04-14 00:00:00,5.28,3.53,5.6,9.8,peak_signal,见顶信号: RSI84.7+上影45.0%,67,000016,深主板,main,3
2024-01-09 00:00:00,4.92,2024-01-11 00:00:00,5.95,20.93,5.95,20.93,take_profit,止盈: 20.93%,70,000017,深主板,main,11
