buy_date,buy_price,sell_date,sell_price,return_pct,highest,max_return_pct,sell_type,sell_reason,score,code,board,board_type,n_limit
2024-10-21 00:00:00,6.94,2024-10-23 00:00:00,7.29,5.04,8.12,17.0,trailing_stop,追踪止损: 从高点-10.22%,75,000006,深主板,main,5
2024-07-02 00:00:00,5.21,2024-07-10 00:00:00,5.29,1.54,5.73,9.98,trailing_stop,追踪止损: 从高点-7.68%,85,000007,深主板,main,2
2024-03-07 00:00:00,2.34,2024-03-11 00:00:00,2.83,20.94,2.83,20.94,take_profit,止盈: 20.94%,70,000008,深主板,main,3
2024-12-03 00:00:00,3.06,2024-12-05 00:00:00,3.71,21.24,3.71,21.24,take_profit,止盈: 21.24%,72,000008,深主板,main,4
2026-03-30 00:00:00,2.97,2026-04-01 00:00:00,3.27,10.1,3.6,21.21,trailing_stop,追踪止损: 从高点-9.17%,85,000008,深主板,main,2
2024-02-07 00:00:00,12.09,2024-02-23 00:00:00,11.9,-1.57,12.55,3.8,end_of_data,数据结束,67,000009,深主板,main,2
2024-07-01 00:00:00,1.75,2024-07-02 00:00:00,1.69,-3.43,1.8,2.86,end_of_data,数据结束,60,000010,深主板,main,3
2025-07-09 00:00:00,3.29,2025-07-11 00:00:00,3.98,20.97,3.98,20.97,take_profit,止盈: 20.97%,66,000010,深主板,main,3
2025-08-11 00:00:00,5.1,2025-08-13 00:00:00,4.51,-11.57,5.25,2.94,stop_loss,止损: -11.57%,66,000010,深主板,main,2
2025-08-11 00:00:00,9.56,2025-08-13 00:00:00,10.13,5.96,11.18,16.95,trailing_stop,追踪止损: 从高点-9.39%,80,000011,深主板,main,2
2024-07-29 00:00:00,2.28,2024-08-01 00:00:00,2.78,21.93,2.78,21.93,take_profit,止盈: 21.93%,73,000016,深主板,main,4
2025-04-11 00:00:00,5.1,2025-04-16 00:00:00,5.28,3.53,5.77,13.14,trailing_stop,追踪止损: 从高点-8.49%,67,000016,深主板,main,3
2024-01-09 00:00:00,4.92,2024-01-11 00:00:00,5.95,20.93,5.95,20.93,take_profit,止盈: 20.93%,70,000017,深主板,main,12
2025-11-19 00:00:00,7.63,2025-11-21 00:00:00,9.23,20.97,9.23,20.97,take_profit,止盈: 20.97%,80,000017,深主板,main,3
2024-08-21 00:00:00,10.56,2024-08-22 00:00:00,10.88,3.03,11.61,9.94,trailing_stop,追踪止损: 从高点-6.29%,71,000020,深主板,main,2
2025-06-17 00:00:00,13.78,2025-06-19 00:00:00,14.58,5.81,16.68,21.04,trailing_stop,追踪止损: 从高点-12.59%,85,000020,深主板,main,2
2025-09-25 00:00:00,15.36,2025-09-29 00:00:00,15.45,0.59,16.9,10.03,trailing_stop,追踪止损: 从高点-8.58%,64,000020,深主板,main,2
2026-03-16 00:00:00,15.94,2026-03-18 00:00:00,19.28,20.95,19.28,20.95,take_profit,止盈: 20.95%,70,000020,深主板,main,5
2024-10-25 00:00:00,17.91,2024-10-29 00:00:00,19.72,10.11,21.69,21.11,trailing_stop,追踪止损: 从高点-9.08%,69,000025,深主板,main,2
2025-04-16 00:00:00,17.41,2025-04-18 00:00:00,21.09,21.14,21.09,21.14,take_profit,止盈: 21.14%,80,000025,深主板,main,3
2025-08-07 00:00:00,18.87,2025-08-13 00:00:00,21.73,15.16,23.07,22.26,take_profit,止盈: 15.16%,61,000026,深主板,main,3
2026-04-13 00:00:00,16.41,2026-04-17 00:00:00,17.62,7.37,18.05,9.99,peak_signal,见顶信号: RSI80.5+上影78.2%,60,000026,深主板,main,2
2026-05-11 00:00:00,24.08,2026-05-14 00:00:00,28.01,16.32,28.74,19.35,take_profit,止盈: 16.32%,66,000029,深主板,main,2
2024-09-27 00:00:00,15.645,2024-10-08 00:00:00,18.925,20.97,18.925,20.97,take_profit,止盈: 20.97%,60,000032,深主板,main,2
2025-02-07 00:00:00,28.253,2025-02-11 00:00:00,30.959,9.58,32.935,16.57,peak_signal,见顶信号: RSI88.0+上影83.5%,67,000034,深主板,main,2
2025-12-19 00:00:00,5.49,2025-12-22 00:00:00,5.57,1.46,6.04,10.02,trailing_stop,追踪止损: 从高点-7.78%,61,000036,深主板,main,4
2025-07-04 00:00:00,9.6,2025-07-08 00:00:00,10.53,9.69,11.41,18.85,trailing_stop,追踪止损: 从高点-7.71%,60,000037,深主板,main,2
2024-03-11 00:00:00,4.48,2024-03-13 00:00:00,5.09,13.62,5.42,20.98,trailing_stop,追踪止损: 从高点-6.09%,85,000042,深主板,main,2
