code,name,source_a_count,source_b_count,merged_count,fix_from,price_mismatch,quality_issues
000090,天健集团,1292,1292,1292,TDX+BaoStock,6,0
000096,广聚能源,1292,1292,1292,TDX+BaoStock,4,0
000099,中信海直,1292,1292,1292,TDX+BaoStock,5,0
000100,TCL科技,1292,1292,1292,TDX+BaoStock,6,0
000151,中成股份,1284,1292,1292,TDX+BaoStock,1,0
000153,丰原药业,1282,1292,1292,TDX+BaoStock,5,0
000155,川能动力,1282,1292,1292,TDX+BaoStock,3,0
000156,华数传媒,1292,1292,1292,TDX+BaoStock,6,0
000157,中联重科,1292,1292,1292,TDX+BaoStock,7,0
000158,常山北明,1292,1292,1292,TDX+BaoStock,1,0
000159,国际实业,1292,1292,1292,TDX+BaoStock,1,0
000166,申万宏源,1292,1292,1292,TDX+BaoStock,7,0
000301,东方盛虹,1281,1292,1292,TDX+BaoStock,5,0
000333,美的集团,1292,1292,1292,TDX+BaoStock,7,0
000338,潍柴动力,1292,1292,1292,TDX+BaoStock,11,0
000400,许继电气,1292,1292,1292,TDX+BaoStock,7,0
000401,金隅冀东,1270,1292,1292,TDX+BaoStock,5,0
000402,金 融 街,1292,1292,1292,TDX+BaoStock,3,0
000403,派林生物,1290,1292,1292,TDX+BaoStock,4,0
000404,长虹华意,1292,1292,1292,TDX+BaoStock,6,0
000407,胜利股份,1282,1292,1292,TDX+BaoStock,5,0
000408,藏格矿业,1286,1292,1292,TDX+BaoStock,8,0
000409,云鼎科技,1291,1292,1292,TDX+BaoStock,1,0
000410,沈阳机床,1279,1292,1292,TDX+BaoStock,1,0
000411,英特集团,1281,1292,1292,TDX+BaoStock,5,0
000415,渤海租赁,1292,1292,1292,TDX+BaoStock,1,0
000417,合百集团,1292,1292,1292,TDX+BaoStock,6,0
000419,通程控股,1292,1292,1292,TDX+BaoStock,6,0
000420,吉林化纤,1275,1292,1292,TDX+BaoStock,1,0
000421,南京公用,1282,1292,1292,TDX+BaoStock,6,0
000422,湖北宜化,1291,1292,1292,TDX+BaoStock,4,0
000423,东阿阿胶,1292,1292,1292,TDX+BaoStock,8,0
000425,徐工机械,1269,1292,1292,TDX+BaoStock,6,0
000426,兴业银锡,1292,1292,1292,TDX+BaoStock,1,0
000428,华天酒店,1292,1292,1292,TDX+BaoStock,1,0
000429,粤高速Ａ,1292,1292,1292,TDX+BaoStock,6,0
000430,ST张家界,1288,1292,1292,TDX+BaoStock,2,0
000488,ST晨鸣,1291,1292,1292,TDX+BaoStock,2,0
000498,山东路桥,1292,1292,1292,TDX+BaoStock,6,0
000501,武商集团,1292,1292,1292,TDX+BaoStock,7,0
000503,国新健康,1292,1292,1292,TDX+BaoStock,1,0
000504,*ST生物,1290,1292,1292,TDX+BaoStock,1,0
000505,京粮控股,1292,1292,1292,TDX+BaoStock,2,0
000506,招金黄金,1280,1292,1292,TDX+BaoStock,1,0
000507,珠海港,1292,1292,1292,TDX+BaoStock,5,0
000509,华塑控股,1291,1292,1292,TDX+BaoStock,1,0
000510,新金路,1282,1292,1292,TDX+BaoStock,1,0
000513,丽珠集团,1292,1292,1292,TDX+BaoStock,6,0
000514,渝 开 发,1292,1292,1292,TDX+BaoStock,3,0
000516,国际医学,1290,1292,1292,TDX+BaoStock,1,0
000582,北部湾港,1292,1292,1292,TDX+BaoStock,8,0
000586,汇源通信,1282,1292,1292,TDX+BaoStock,1,0
000589,贵州轮胎,1292,1292,1292,TDX+BaoStock,7,0
000590,古汉医药,1292,1292,1292,TDX+BaoStock,1,0
000591,太阳能,1292,1292,1292,TDX+BaoStock,8,0
000592,平潭发展,1289,1292,1292,TDX+BaoStock,1,0
000593,德龙汇能,1290,1292,1292,TDX+BaoStock,1,0
000595,*ST宝实,1285,1292,1292,TDX+BaoStock,1,0
000596,古井贡酒,1292,1292,1292,TDX+BaoStock,8,0
000597,东北制药,1289,1292,1292,TDX+BaoStock,4,0
000598,兴蓉环境,1292,1292,1292,TDX+BaoStock,6,0
000599,青岛双星,1284,1292,1292,TDX+BaoStock,1,0
000600,建投能源,1292,1292,1292,TDX+BaoStock,5,0
000601,韶能股份,1280,1292,1292,TDX+BaoStock,4,0
000603,盛达资源,1276,1292,1292,TDX+BaoStock,3,0
000605,渤海股份,1292,1292,1292,TDX+BaoStock,1,0
000607,华媒控股,1292,1292,1292,TDX+BaoStock,2,0
000608,*ST阳光,1286,1292,1292,TDX+BaoStock,1,0
000609,*ST中迪,1284,1292,1292,TDX+BaoStock,1,0
000610,*ST西旅,1291,1292,1292,TDX+BaoStock,1,0
000612,焦作万方,1282,1292,1292,TDX+BaoStock,6,0
000615,*ST美谷,1288,1292,1292,TDX+BaoStock,2,0
000617,中油资本,1292,1292,1292,TDX+BaoStock,8,0
000619,海螺新材,1292,1292,1292,TDX+BaoStock,2,0
000620,盈新发展,1289,1292,1292,TDX+BaoStock,1,0
000623,吉林敖东,1292,1292,1292,TDX+BaoStock,8,0
000625,长安汽车,1292,1292,1292,TDX+BaoStock,6,0
000626,远大控股,1292,1292,1292,TDX+BaoStock,1,0
000628,高新发展,1282,1292,1292,TDX+BaoStock,2,0
000629,钒钛股份,1292,1292,1292,TDX+BaoStock,1,0
000630,铜陵有色,1282,1292,1292,TDX+BaoStock,7,0
000631,顺发恒能,1292,1292,1292,TDX+BaoStock,3,0
000632,ST三木,1291,1292,1292,TDX+BaoStock,1,0
000633,合金投资,1287,1292,1292,TDX+BaoStock,1,0
000635,英 力 特,1292,1292,1292,TDX+BaoStock,2,0
000636,风华高科,1292,1292,1292,TDX+BaoStock,5,0
000637,茂化实华,1290,1292,1292,TDX+BaoStock,2,0
000638,*ST万方,1274,1292,1292,TDX+BaoStock,1,1
000639,ST西王,1291,1292,1292,TDX+BaoStock,1,0
000650,仁和药业,1292,1292,1292,TDX+BaoStock,6,0
000651,格力电器,1292,1292,1292,TDX+BaoStock,10,0
000652,泰达股份,1292,1292,1292,TDX+BaoStock,4,0
000655,金岭矿业,1292,1292,1292,TDX+BaoStock,9,0
000656,*ST金科,1280,1292,1292,TDX+BaoStock,2,0
000657,中钨高新,1282,1292,1292,TDX+BaoStock,6,0
000659,珠海中富,1290,1292,1292,TDX+BaoStock,1,0
000661,长春高新,1292,0,1292,TDX,0,0
000663,永安林业,1291,0,1291,TDX,0,0
000665,湖北广电,1292,0,1292,TDX,0,0
000668,*ST荣控,1291,0,1291,TDX,0,0
000001,平安银行,1292,1292,1292,TDX+BaoStock,8,0
000002,万  科Ａ,1292,1292,1292,TDX+BaoStock,5,0
000004,*ST国华,1284,1292,1292,TDX+BaoStock,1,1
000006,深振业Ａ,1292,1292,1292,TDX+BaoStock,4,0
000007,全新好,1288,1292,1292,TDX+BaoStock,1,0
000008,神州高铁,1292,1292,1292,TDX+BaoStock,1,0
000009,中国宝安,1292,1292,1292,TDX+BaoStock,2,0
000010,*ST美丽,1291,1292,1292,TDX+BaoStock,1,0
000011,深物业A,1292,1292,1292,TDX+BaoStock,5,0
000012,南  玻Ａ,1292,1292,1292,TDX+BaoStock,6,0
000014,沙河股份,1292,1292,1292,TDX+BaoStock,4,0
000016,*ST康佳A,1272,1292,1292,TDX+BaoStock,3,0
000017,深中华A,1291,1292,1292,TDX+BaoStock,1,0
000019,深粮控股,1292,1292,1292,TDX+BaoStock,6,0
000020,深华发Ａ,1292,1292,1292,TDX+BaoStock,1,0
000021,深科技,1292,1292,1292,TDX+BaoStock,6,0
000025,特  力Ａ,1292,1292,1292,TDX+BaoStock,2,0
000026,飞亚达,1292,1292,1292,TDX+BaoStock,6,0
000027,深圳能源,1292,1292,1292,TDX+BaoStock,6,0
000028,国药一致,1292,1292,1292,TDX+BaoStock,6,0
000029,深深房Ａ,1292,1292,1292,TDX+BaoStock,4,0
000030,富奥股份,1292,1292,1292,TDX+BaoStock,6,0
000031,大悦城,1292,1292,1292,TDX+BaoStock,1,0
000032,深桑达Ａ,1291,1292,1292,TDX+BaoStock,4,0
000034,神州数码,1292,1292,1292,TDX+BaoStock,6,0
000035,中国天楹,1292,1292,1292,TDX+BaoStock,3,0
000036,华联控股,1292,1292,1292,TDX+BaoStock,4,0
000037,深南电A,1292,1292,1292,TDX+BaoStock,1,0
000039,中集集团,1292,1292,1292,TDX+BaoStock,5,0
000042,中洲控股,1292,1292,1292,TDX+BaoStock,2,0
000045,深纺织Ａ,1279,1292,1292,TDX+BaoStock,4,0
000048,京基智农,1292,1292,1292,TDX+BaoStock,7,0
000049,德赛电池,1286,1292,1292,TDX+BaoStock,7,0
000050,深天马Ａ,1292,1292,1292,TDX+BaoStock,2,0
000055,方大集团,1292,1292,1292,TDX+BaoStock,5,0
000056,*ST皇庭,1291,0,1291,TDX,0,0
000058,深 赛 格,1292,0,1292,TDX,0,0
000059,华锦股份,1292,0,1292,TDX,0,0
000060,中金岭南,1292,0,1292,TDX,0,0
000061,农 产 品,1292,0,1292,TDX,0,0
000062,深圳华强,1292,0,1292,TDX,0,0
000063,中兴通讯,1291,0,1291,TDX,0,0
000065,北方国际,1286,0,1286,TDX,0,0
000066,中国长城,1292,0,1292,TDX,0,0
000068,华控赛格,1292,0,1292,TDX,0,0
000069,华侨城Ａ,1292,0,1292,TDX,0,0
000070,特发信息,1290,0,1290,TDX,0,0
000078,ST海王,1291,0,1291,TDX,0,0
000088,盐 田 港,1282,0,1282,TDX,0,0
000089,深圳机场,1292,0,1292,TDX,0,0
000820,*ST节能,1283,1292,1292,TDX+BaoStock,1,0
000821,ST京机,1291,1292,1292,TDX+BaoStock,3,0
000822,山东海化,1292,1292,1292,TDX+BaoStock,4,0
000823,超声电子,1292,1292,1292,TDX+BaoStock,6,0
000825,太钢不锈,1292,1292,1292,TDX+BaoStock,5,0
000826,*ST启环,1281,1292,1292,TDX+BaoStock,1,0
000828,东莞控股,1292,1292,1292,TDX+BaoStock,8,0
000829,天音控股,1292,1292,1292,TDX+BaoStock,3,0
000830,鲁西化工,1282,1292,1292,TDX+BaoStock,6,0
000831,中国稀土,1292,1292,1292,TDX+BaoStock,1,0
000833,粤桂股份,1292,1292,1292,TDX+BaoStock,5,0
000837,秦川机床,1291,1292,1292,TDX+BaoStock,1,0
000838,*ST发展,1291,1292,1292,TDX+BaoStock,2,0
000839,国安股份,1290,1292,1292,TDX+BaoStock,1,0
000848,承德露露,1292,1292,1292,TDX+BaoStock,5,0
000850,华茂股份,1292,1292,1292,TDX+BaoStock,6,0
000852,石化机械,1292,1292,1292,TDX+BaoStock,1,0
000856,冀东装备,1292,1292,1292,TDX+BaoStock,1,0
000858,五 粮 液,1292,1292,1292,TDX+BaoStock,8,0
000859,国风新材,1282,1292,1292,TDX+BaoStock,2,0
000860,顺鑫农业,1292,1292,1292,TDX+BaoStock,2,0
000862,银星能源,1286,1292,1292,TDX+BaoStock,1,0
000863,三湘印象,1287,1292,1292,TDX+BaoStock,3,0
000868,安凯客车,1291,1292,1292,TDX+BaoStock,1,0
000869,张  裕Ａ,1292,1292,1292,TDX+BaoStock,6,0
