code,board,bars,written,status,errors
000001,main_sz,0,0,no_data,无数据
000002,main_sz,0,0,no_data,无数据
000004,main_sz,0,0,no_data,无数据
000006,main_sz,0,0,no_data,无数据
000007,main_sz,0,0,no_data,无数据
000008,main_sz,0,0,no_data,无数据
000009,main_sz,0,0,no_data,无数据
000010,main_sz,0,0,no_data,无数据
000011,main_sz,0,0,no_data,无数据
000012,main_sz,0,0,no_data,无数据
000014,main_sz,0,0,no_data,无数据
000016,main_sz,0,0,no_data,无数据
000017,main_sz,0,0,no_data,无数据
000019,main_sz,0,0,no_data,无数据
000020,main_sz,0,0,no_data,无数据
000021,main_sz,0,0,no_data,无数据
000025,main_sz,0,0,no_data,无数据
000026,main_sz,0,0,no_data,无数据
000027,main_sz,0,0,no_data,无数据
000028,main_sz,0,0,no_data,无数据
000029,main_sz,0,0,no_data,无数据
000030,main_sz,0,0,no_data,无数据
000031,main_sz,0,0,no_data,无数据
000032,main_sz,0,0,no_data,无数据
000034,main_sz,0,0,no_data,无数据
000035,main_sz,0,0,no_data,无数据
000036,main_sz,0,0,no_data,无数据
000037,main_sz,0,0,no_data,无数据
000039,main_sz,0,0,no_data,无数据
000042,main_sz,0,0,no_data,无数据
000045,main_sz,0,0,no_data,无数据
000048,main_sz,0,0,no_data,无数据
000049,main_sz,0,0,no_data,无数据
000050,main_sz,0,0,no_data,无数据
000055,main_sz,0,0,no_data,无数据
000056,main_sz,0,0,no_data,无数据
000058,main_sz,0,0,no_data,无数据
000059,main_sz,0,0,no_data,无数据
000060,main_sz,0,0,no_data,无数据
000061,main_sz,0,0,no_data,无数据
000062,main_sz,0,0,no_data,无数据
000063,main_sz,0,0,no_data,无数据
000065,main_sz,0,0,no_data,无数据
000066,main_sz,0,0,no_data,无数据
000068,main_sz,0,0,no_data,无数据
000069,main_sz,0,0,no_data,无数据
000070,main_sz,0,0,no_data,无数据
000078,main_sz,0,0,no_data,无数据
000088,main_sz,0,0,no_data,无数据
000089,main_sz,0,0,no_data,无数据
000090,main_sz,0,0,no_data,无数据
000096,main_sz,0,0,no_data,无数据
000099,main_sz,0,0,no_data,无数据
000100,main_sz,0,0,no_data,无数据
000151,main_sz,0,0,no_data,无数据
000153,main_sz,0,0,no_data,无数据
000155,main_sz,0,0,no_data,无数据
000156,main_sz,0,0,no_data,无数据
000157,main_sz,0,0,no_data,无数据
000158,main_sz,0,0,no_data,无数据
000159,main_sz,0,0,no_data,无数据
000166,main_sz,0,0,no_data,无数据
000301,main_sz,0,0,no_data,无数据
000333,main_sz,0,0,no_data,无数据
000338,main_sz,0,0,no_data,无数据
