code,board,bars,first_bar,last_bar,written,status,errors
000004,main_sz,49,2026-06-23 09:45,2026-06-26 09:45,0,error,数据覆盖率不足: 3/4 (75.0%) < 80%
000001,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000002,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000006,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000007,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000008,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000009,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000010,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000011,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000012,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000014,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000016,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000017,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000019,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000020,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000021,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000025,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000026,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000027,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000028,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000029,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000030,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000031,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000032,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000034,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000035,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000036,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000037,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000039,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000042,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000045,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000048,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000049,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000050,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000055,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000056,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000058,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000059,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000060,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000061,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000062,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000063,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000065,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000066,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
