code,board,bars,written,status,errors
000039,main_sz,641,641,ok,
000048,main_sz,641,641,ok,
000049,main_sz,641,641,ok,交易日缺失: 2023-11-30; 交易日缺失: 2023-12-01; 交易日缺失: 2023-12-04
000089,main_sz,641,641,ok,
000096,main_sz,641,641,ok,
000404,main_sz,641,641,ok,
000408,main_sz,641,641,ok,交易日缺失: 2025-01-10; 交易日缺失: 2025-01-13; 交易日缺失: 2025-01-14
000550,main_sz,641,641,ok,
000563,main_sz,641,641,ok,
000564,main_sz,641,641,ok,交易日缺失: 2024-05-30
000567,main_sz,641,641,ok,
000598,main_sz,641,641,ok,
000625,main_sz,641,641,ok,
000638,main_sz,640,640,ok,交易日缺失: 2025-04-29; 尾部缺失 19 天: 2026-04-13 → 2026-05-14
000651,main_sz,641,641,ok,
000657,main_sz,641,641,ok,交易日缺失: 2023-12-26; 交易日缺失: 2023-12-27; 交易日缺失: 2023-12-28
000715,main_sz,641,641,ok,
000761,main_sz,641,641,ok,
000791,main_sz,641,641,ok,交易日缺失: 2024-03-06; 交易日缺失: 2024-03-07; 交易日缺失: 2024-03-08
000792,main_sz,641,641,ok,
000793,main_sz,641,641,ok,交易日缺失: 2025-03-17; 交易日缺失: 2026-02-27
000803,main_sz,641,641,ok,
000822,main_sz,641,641,ok,
000830,main_sz,641,641,ok,
000895,main_sz,1295,1295,ok,
000913,main_sz,1295,1295,ok,
000915,main_sz,1295,1295,ok,
000921,main_sz,1295,1295,ok,
000928,main_sz,1295,1295,ok,
000932,main_sz,1295,1295,ok,
000933,main_sz,1285,1285,ok,交易日缺失: 2022-04-26; 交易日缺失: 2022-04-27; 交易日缺失: 2022-04-28
000937,main_sz,1295,1295,ok,
001210,main_sz,1157,1157,ok,
001212,main_sz,1138,1138,ok,交易日缺失: 2025-03-28; 交易日缺失: 2025-03-31
001219,main_sz,1104,1104,ok,
001221,main_sz,188,188,ok,
001222,main_sz,800,800,ok,
001223,main_sz,800,800,ok,
001230,main_sz,799,799,ok,
001236,main_sz,800,800,ok,
001238,main_sz,799,799,ok,
001239,main_sz,582,582,ok,
001255,main_sz,799,799,ok,
001260,main_sz,784,784,ok,
001279,main_sz,384,384,ok,
001280,main_sz,104,104,ok,
001282,main_sz,718,718,ok,
001286,main_sz,747,747,ok,
001287,main_sz,748,748,ok,
001306,main_sz,600,600,ok,
001325,main_sz,94,94,ok,
001326,main_sz,606,606,ok,
001328,main_sz,748,748,ok,
001331,main_sz,879,879,ok,交易日缺失: 2025-12-05; 交易日缺失: 2025-12-08; 交易日缺失: 2025-12-09
001335,main_sz,0,0,no_data,无数据
001356,main_sz,311,311,ok,
001359,main_sz,512,512,ok,
001360,main_sz,748,748,ok,
001369,main_sz,85,85,ok,
001373,main_sz,712,712,ok,
001378,main_sz,613,613,ok,
001382,main_sz,276,276,ok,
001387,main_sz,561,561,ok,
001390,main_sz,231,231,ok,
001391,main_sz,329,329,ok,
001395,main_sz,310,310,ok,
001396,main_sz,0,0,no_data,无数据
002014,main_sz,1295,1295,ok,
002027,main_sz,1296,1296,ok,
002032,main_sz,800,800,ok,
002061,main_sz,0,0,no_data,无数据
002063,main_sz,1296,1296,ok,
002145,main_sz,1296,1296,ok,
002149,main_sz,1296,1296,ok,
002150,main_sz,1292,1292,ok,交易日缺失: 2022-11-17; 交易日缺失: 2022-11-18; 交易日缺失: 2022-11-21
002154,main_sz,1296,1296,ok,
002155,main_sz,1286,1286,ok,交易日缺失: 2026-01-12; 交易日缺失: 2026-01-13; 交易日缺失: 2026-01-14
002206,main_sz,1296,1296,ok,
002228,main_sz,1296,1296,ok,
002233,main_sz,1296,1296,ok,
002270,main_sz,1296,1296,ok,
002271,main_sz,1296,1296,ok,
002322,main_sz,1296,1296,ok,
002335,main_sz,1296,1296,ok,
002338,main_sz,1286,1286,ok,交易日缺失: 2021-11-26; 交易日缺失: 2021-11-29; 交易日缺失: 2021-11-30
002343,main_sz,1296,1296,ok,
002348,main_sz,1289,1289,ok,交易日缺失: 2022-11-18; 交易日缺失: 2022-11-21; 交易日缺失: 2025-11-25
002393,main_sz,1296,1296,ok,
002407,main_sz,1296,1296,ok,
002410,main_sz,1296,1296,ok,
002414,main_sz,1296,1296,ok,
002424,main_sz,1293,1293,ok,交易日缺失: 2024-04-30; 交易日缺失: 2025-06-27; 交易日缺失: 2025-12-22
002463,main_sz,1296,1296,ok,
002469,main_sz,1296,1296,ok,
002478,main_sz,1296,1296,ok,
002481,main_sz,1296,1296,ok,
002507,main_sz,1296,1296,ok,
002578,main_sz,1296,1296,ok,
002579,main_sz,1296,1296,ok,
002582,main_sz,1296,1296,ok,
002583,main_sz,1296,1296,ok,
002594,main_sz,1296,1296,ok,
002595,main_sz,1296,1296,ok,
002615,main_sz,1296,1296,ok,
002624,main_sz,1296,1296,ok,
002658,main_sz,1296,1296,ok,
002674,main_sz,1296,1296,ok,
002756,main_sz,1296,1296,ok,
002763,main_sz,1296,1296,ok,
002774,main_sz,1296,1296,ok,
002779,main_sz,1296,1296,ok,
002789,main_sz,1295,1295,ok,交易日缺失: 2025-04-25
002790,main_sz,1296,1296,ok,
002793,main_sz,1296,1296,ok,
002795,main_sz,1292,1292,ok,交易日缺失: 2022-11-22; 交易日缺失: 2022-11-23; 交易日缺失: 2023-11-09
002800,main_sz,1292,1292,ok,交易日缺失: 2023-04-27; 交易日缺失: 2023-09-25; 交易日缺失: 2023-09-26
002829,main_sz,1296,1296,ok,
002833,main_sz,1296,1296,ok,
002836,main_sz,1296,1296,ok,
002837,main_sz,1296,1296,ok,
002847,main_sz,1295,1295,ok,
002849,main_sz,1295,1295,ok,
002862,main_sz,1295,1295,ok,
002865,main_sz,1295,1295,ok,
002871,main_sz,1295,1295,ok,
002876,main_sz,1296,1296,ok,
002880,main_sz,1290,1290,ok,交易日缺失: 2023-05-29; 交易日缺失: 2023-05-30; 交易日缺失: 2023-05-31
002881,main_sz,1296,1296,ok,
002883,main_sz,0,0,no_data,无数据
002884,main_sz,1296,1296,ok,
002885,main_sz,800,800,ok,
002886,main_sz,1295,1295,ok,
002889,main_sz,1295,1295,ok,
002890,main_sz,800,800,ok,
002892,main_sz,0,0,no_data,无数据
002896,main_sz,800,800,ok,
002911,main_sz,1296,1296,ok,
002917,main_sz,1286,1286,ok,交易日缺失: 2023-04-06; 交易日缺失: 2023-04-07; 交易日缺失: 2023-04-10
002919,main_sz,1295,1295,ok,
002923,main_sz,1295,1295,ok,
002932,main_sz,1294,1294,ok,交易日缺失: 2026-04-21
002935,main_sz,1295,1295,ok,
002940,main_sz,800,800,ok,
002943,main_sz,800,800,ok,
002977,main_sz,1294,1294,ok,交易日缺失: 2026-04-23
002980,main_sz,1295,1295,ok,
002981,main_sz,1295,1295,ok,
002982,main_sz,1295,1295,ok,
002983,main_sz,1295,1295,ok,
002984,main_sz,1295,1295,ok,
002986,main_sz,1295,1295,ok,
002987,main_sz,1295,1295,ok,
003021,main_sz,1295,1295,ok,
003022,main_sz,1296,1296,ok,
003025,main_sz,1296,1296,ok,
003026,main_sz,1296,1296,ok,
003028,main_sz,1296,1296,ok,
003031,main_sz,641,641,ok,
003035,main_sz,1285,1285,ok,
003038,main_sz,1269,1269,ok,
003041,main_sz,1226,1226,ok,交易日缺失: 2025-11-05; 交易日缺失: 2025-11-06; 交易日缺失: 2025-11-07
003043,main_sz,799,799,ok,交易日缺失: 2023-07-24; 交易日缺失: 2023-07-25; 交易日缺失: 2023-07-26
300001,gem,1295,1295,ok,
300015,gem,800,800,ok,
300100,gem,800,800,ok,
300109,gem,1295,1295,ok,
300177,gem,1296,1296,ok,
300218,gem,1296,1296,ok,
300219,gem,1296,1296,ok,
300225,gem,1255,1255,ok,交易日缺失: 2025-05-06; 交易日缺失: 2025-05-07; 交易日缺失: 2025-05-08
300272,gem,1296,1296,ok,
300286,gem,1296,1296,ok,
300308,gem,1296,1296,ok,
300371,gem,1296,1296,ok,
300440,gem,1296,1296,ok,
300442,gem,1290,1290,ok,交易日缺失: 2026-02-06; 交易日缺失: 2026-02-09; 交易日缺失: 2026-02-10
300443,gem,1291,1291,ok,交易日缺失: 2021-07-12; 交易日缺失: 2021-07-13; 交易日缺失: 2021-07-14
300453,gem,1296,1296,ok,
300458,gem,1296,1296,ok,
300476,gem,1296,1296,ok,
300486,gem,1281,1281,ok,交易日缺失: 2025-08-20; 交易日缺失: 2025-08-21; 交易日缺失: 2025-08-22
300525,gem,1291,1291,ok,交易日缺失: 2021-02-01; 交易日缺失: 2021-02-02; 交易日缺失: 2021-02-03
300532,gem,1296,1296,ok,
300533,gem,1296,1296,ok,
300540,gem,1296,1296,ok,
300541,gem,1296,1296,ok,
300546,gem,1296,1296,ok,
300580,gem,1296,1296,ok,
300581,gem,1296,1296,ok,
300583,gem,1296,1296,ok,
300586,gem,1296,1296,ok,
300592,gem,1296,1296,ok,
300593,gem,1296,1296,ok,
300608,gem,1296,1296,ok,
300609,gem,1293,1293,ok,交易日缺失: 2025-05-07; 交易日缺失: 2025-05-08; 交易日缺失: 2025-05-09
300611,gem,1296,1296,ok,
300612,gem,1296,1296,ok,
300614,gem,1204,1204,ok,
300619,gem,1296,1296,ok,
300645,gem,1296,1296,ok,
300654,gem,641,641,ok,
300655,gem,641,641,ok,
300660,gem,641,641,ok,
300661,gem,641,641,ok,
300674,gem,641,641,ok,
300687,gem,641,641,ok,
300693,gem,1295,1295,ok,
300696,gem,1295,1295,ok,
300697,gem,1291,1291,ok,交易日缺失: 2023-11-20; 交易日缺失: 2023-11-21; 交易日缺失: 2023-11-22
300701,gem,1295,1295,ok,
300702,gem,1295,1295,ok,
300705,gem,1295,1295,ok,
300707,gem,1295,1295,ok,
300708,gem,1295,1295,ok,
300710,gem,1280,1280,ok,交易日缺失: 2021-09-01; 交易日缺失: 2021-09-02; 交易日缺失: 2021-09-03
300781,gem,1291,1291,ok,交易日缺失: 2024-10-23; 交易日缺失: 2024-10-24; 交易日缺失: 2024-10-25
300784,gem,466,466,ok,
300785,gem,1295,1295,ok,
300787,gem,1295,1295,ok,
300789,gem,1295,1295,ok,
300791,gem,1295,1295,ok,
300795,gem,1293,1293,ok,交易日缺失: 2021-04-27; 交易日缺失: 2022-04-11
300796,gem,799,799,ok,
300823,gem,799,799,ok,
300824,gem,800,800,ok,
300825,gem,800,800,ok,
300827,gem,800,800,ok,
300828,gem,799,799,ok,交易日缺失: 2026-02-05; 交易日缺失: 2026-02-06; 交易日缺失: 2026-02-09
300829,gem,800,800,ok,
300833,gem,800,800,ok,
300844,gem,800,800,ok,
300847,gem,800,800,ok,
300848,gem,800,800,ok,
300852,gem,799,799,ok,
300853,gem,800,800,ok,
300855,gem,800,800,ok,
300856,gem,799,799,ok,
300857,gem,800,800,ok,
300858,gem,1296,1296,ok,
300860,gem,1296,1296,ok,
300861,gem,1296,1296,ok,
300862,gem,1296,1296,ok,
300864,gem,1296,1296,ok,
300878,gem,1296,1296,ok,
300880,gem,1296,1296,ok,
300904,gem,666,666,ok,
300936,gem,1280,1280,ok,
300937,gem,1278,1278,ok,
300938,gem,1278,1278,ok,
300939,gem,1277,1277,ok,
300940,gem,1273,1273,ok,
300941,gem,1269,1269,ok,
300946,gem,1270,1270,ok,
300951,gem,1261,1261,ok,
300953,gem,1247,1247,ok,
